"87"	"93"	"204"	"261"	"1908"
"regulation of heart contraction"	0	0	0	0	0
"blood circulation"	0	0	0	0	0
"behavior"	0	0	0	0	0
"macromolecule catabolic process"	0	0	0	0	0
"hexose transport"	0	0	0	0	0
"carbohydrate transport"	0	0	0	0	0
"Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose"	0	0	0	0	0
"Dyslipidemias"	0	1	0	1	0
"Lactose Intolerance"	0	1	0	0	0
"Diarrhea Infantile"	0	0	0	0	0
"Diabetic Coma"	0	1	0	1	0
"Glucan 14-alpha-glucosidase"	0	0	1	0	0
"Galactose metabolism"	0	0	0	0	0
"Starch and sucrose metabolism"	0	0	0	0	0
"ubiquitin binding"	0	0	1	1	0
"monosaccharide binding"	0	0	0	0	0
"Alpha-glucosidase"	0	0	1	0	0
"Amylo-alpha-16-glucosidase"	0	0	1	1	0
"4-alpha-glucanotransferase"	0	0	1	1	0
"Glucose Intolerance"	0	1	0	0	0
