"3"	"5"	"6"	"8"	"10"
"3-chloroallyl aldehyde dehydrogenase activity"	0	0	0	0	0
"alcohol dehydrogenase activity zinc-dependent"	0	0	0	0	0
"alcohol dehydrogenase (NAD) activity"	0	0	0	0	0
"glutathione transferase activity"	0	0	0	0	0
"3-oxoacyl-[acyl-carrier-protein] synthase activity"	0	0	0	0	0
"[acyl-carrier-protein] S-malonyltransferase activity"	0	0	0	0	0
"[acyl-carrier-protein] S-acetyltransferase activity"	0	0	0	0	0
"fatty acid synthase activity"	0	0	0	0	0
"oleoyl-[acyl-carrier-protein] hydrolase activity"	0	0	0	0	0
"enoyl-[acyl-carrier-protein] reductase (NADPH B-specific) activity"	0	0	0	0	0
"3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity"	0	0	0	0	0
"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity"	0	0	0	0	0
"enoyl-CoA hydratase activity"	0	0	0	0	0
"dodecenoyl-CoA delta-isomerase activity"	0	0	0	0	0
"estradiol 17-beta-dehydrogenase activity"	0	0	0	0	0
"extracellular negative regulation of signal transduction"	0	0	0	0	0
"extracellular regulation of signal transduction"	0	0	0	0	0
"organophosphate biosynthetic process"	0	0	0	0	0
"regulation of multicellular organismal development"	0	0	0	0	0
"negative regulation of cysteine-type endopeptidase activity"	0	0	0	0	0
"regulation of cysteine-type endopeptidase activity"	0	0	0	0	0
"negative regulation of cellular macromolecule biosynthetic process"	0	0	0	0	0
"regulation of cellular macromolecule biosynthetic process"	0	0	0	0	0
"carbohydrate derivative biosynthetic process"	0	0	0	0	0
"nucleoside phosphate biosynthetic process"	0	0	0	0	0
"nucleoside phosphate catabolic process"	0	0	0	0	0
"guanosine-containing compound biosynthetic process"	0	0	0	0	0
"guanosine-containing compound catabolic process"	0	0	0	0	0
"guanosine-containing compound metabolic process"	0	0	0	0	0
"carbohydrate derivative catabolic process"	0	0	0	0	0
"carbohydrate derivative metabolic process"	0	0	0	0	0
"olefin metabolic process"	0	0	0	0	0
"olefin biosynthetic process"	0	0	0	0	0
"regulation of RNA biosynthetic process"	0	0	0	0	0
"regulation of reactive oxygen species metabolic process"	0	0	0	0	0
"positive regulation of reproductive process"	0	0	0	0	0
"positive regulation of reactive oxygen species metabolic process"	0	0	0	0	0
"nucleoplasm"	0	0	0	0	0
"nucleus"	0	0	0	0	0
" 162351"	0	0	0	0	0
"ruffle"	0	0	0	0	0
"chromatin"	0	0	0	0	0
"smooth endoplasmic reticulum"	0	0	0	0	0
"endoplasmic reticulum membrane"	0	0	0	0	0
"mitochondrial matrix"	0	0	0	0	0
"mitochondrial intermembrane space"	0	0	0	0	0
"mitochondrion"	0	0	0	0	0
" 164342"	0	0	0	0	0
"nucleolus"	0	0	0	0	0
"mitochondrial inner membrane"	0	0	0	0	0
"mitochondrial envelope"	0	0	0	0	0
"endomembrane system"	0	0	0	0	0
"cell surface"	0	0	0	0	0
"microtubule cytoskeleton"	0	0	0	0	0
"actin cytoskeleton"	0	0	0	0	0
"ribonucleoside-diphosphate reductase complex"	0	0	0	0	0
"nucleoid"	0	0	0	0	0
"cytosol"	0	0	0	0	0
" 168113"	0	0	0	0	0
"intermediate filament"	0	0	0	0	0
"cytoskeleton"	0	0	0	0	0
"lamellipodium"	0	0	0	0	0
"organelle inner membrane"	0	0	0	0	0
"flagellum"	0	0	0	0	0
"integral to membrane"	0	0	0	0	0
"mitochondrial fatty acid beta-oxidation multienzyme complex"	0	0	0	0	0
"leading edge membrane"	0	0	0	0	0
"cytoplasmic vesicle"	0	0	0	0	0
"cell leading edge"	0	0	0	0	0
"smooth endoplasmic reticulum membrane"	0	0	0	0	0
"oxidoreductase activity acting on CH or CH2 groups disulfide as acceptor"	0	0	0	0	0
"oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen"	0	0	0	0	0
"oxidoreductase activity acting on single donors with incorporation of molecular oxygen incorporation of two atoms of oxygen"	0	0	0	0	0
"oxidoreductase activity acting on single donors with incorporation of molecular oxygen"	0	0	0	0	0
"oxidoreductase activity acting on peroxide as acceptor"	0	0	0	0	0
"oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen reduced flavin or flavoprotein as one donor and incorporation of one atom of oxygen"	0	0	0	0	0
"oxidoreductase activity acting on paired donors with incorporation or reduction of molecular oxygen NADH or NADPH as one donor and incorporation of one atom of oxygen"	0	0	0	0	0
"oxidoreductase activity acting on a sulfur group of donors quinone or similar compound as acceptor"	0	0	0	0	0
"oxidoreductase activity acting on a sulfur group of donors NAD or NADP as acceptor"	0	0	0	0	0
"hydrolase activity acting on ester bonds"	0	0	0	0	0
"hydrolase activity"	0	0	0	0	0
"phosphatase activity"	0	0	0	0	0
"phosphotransferase activity phosphate group as acceptor"	0	0	0	0	0
"phosphotransferase activity nitrogenous group as acceptor"	0	0	0	0	0
"phosphotransferase activity alcohol group as acceptor"	0	0	0	0	0
"nucleotidyltransferase activity"	0	0	0	0	0
"transferase activity transferring phosphorus-containing groups"	0	0	0	0	0
"transferase activity transferring alkyl or aryl (other than methyl) groups"	0	0	0	0	0
"transferase activity transferring pentosyl groups"	0	0	0	0	0
"transferase activity"	0	0	0	0	0
" 211244"	0	0	0	0	0
"cis-trans isomerase activity"	0	0	0	0	0
"hydro-lyase activity"	0	0	0	0	0
"carbon-sulfur lyase activity"	0	0	0	0	0
"lyase activity"	0	0	0	0	0
"carbon-oxygen lyase activity"	0	0	0	0	0
"aldehyde-lyase activity"	0	0	0	0	0
"hydrolase activity acting on acid anhydrides in phosphorus-containing anhydrides"	0	0	0	0	0
"hydrolase activity acting on acid anhydrides"	0	0	0	0	0
"hydrolase activity acting on carbon-nitrogen (but not peptide) bonds in cyclic amidines"	0	0	0	0	0
"formaldehyde dehydrogenase activity"	0	0	0	0	0
"pyrimidine nucleotide binding"	0	0	0	0	0
"guanyl nucleotide binding"	0	0	0	0	0
"purine nucleotide binding"	0	0	0	0	0
"nucleoside-triphosphatase activity"	0	0	0	0	0
"nucleoside-diphosphatase activity"	0	0	0	0	0
"carbon-nitrogen ligase activity with glutamine as amido-N-donor"	0	0	0	0	0
"ligase activity forming carbon-sulfur bonds"	0	0	0	0	0
"ligase activity forming aminoacyl-tRNA and related compounds"	0	0	0	0	0
"ligase activity forming carbon-oxygen bonds"	0	0	0	0	0
"ligase activity"	0	0	0	0	0
"acid-amino acid ligase activity"	0	0	0	0	0
"ligase activity forming carbon-nitrogen bonds"	0	0	0	0	0
"acid-thiol ligase activity"	0	0	0	0	0
"heme binding"	0	0	0	0	0
"vitamin binding"	0	0	0	0	0
"retinol binding"	0	0	0	0	0
"nucleoside kinase activity"	0	0	0	0	0
"nucleobase-containing compound kinase activity"	0	0	0	0	0
"oxygen binding"	0	0	0	0	0
"aminobutyraldehyde dehydrogenase activity"	0	0	0	0	0
"benzaldehyde dehydrogenase activity"	0	0	0	0	0
"nucleotide kinase activity"	0	0	0	0	0
"carbohydrate kinase activity"	0	0	0	0	0
"3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity"	0	0	0	0	0
"trans-2-enoyl-CoA reductase (NADPH) activity"	0	0	0	0	0
"phosphopantetheine binding"	0	0	0	0	0
"oxidoreductase activity acting on phosphorus or arsenic in donors"	0	0	0	0	0
"adenyl nucleotide binding"	0	0	0	0	0
"receptor inhibitor activity"	0	0	0	0	0
"receptor regulator activity"	0	0	0	0	0
"potassium ion binding"	0	0	0	0	0
"oxidoreductase activity acting on phosphorus or arsenic in donors disulfide as acceptor"	0	0	0	0	0
"vitamin D3 25-hydroxylase activity"	0	0	0	0	0
"taurochenodeoxycholate 6alpha-hydroxylase activity"	0	0	0	0	0
"guanyl ribonucleotide binding"	0	0	0	0	0
"adenyl ribonucleotide binding"	0	0	0	0	0
"purine ribonucleotide binding"	0	0	0	0	0
"1-pyrroline dehydrogenase activity"	0	0	0	0	0
"oxidoreductase activity acting on CH or CH2 groups quinone or similar compound as acceptor"	0	0	0	0	0
"ribonucleotide binding"	0	0	0	0	0
"alkali metal ion binding"	0	0	0	0	0
"dITP diphosphatase activity"	0	0	0	0	0
"dinitrosyl-iron complex binding"	0	0	0	0	0
"S-nitrosoglutathione binding"	0	0	0	0	0
"small molecule binding"	0	0	0	0	0
" 221842"	0	0	0	0	0
"purine ribonucleoside triphosphate binding"	0	0	0	0	0
"NADH pyrophosphatase activity"	0	0	0	0	0
"ethanol binding"	0	0	0	0	0
"caffeine oxidase activity"	0	0	0	0	0
"deoxyribonuclease activity"	0	0	0	0	0
"exonuclease activity"	0	0	0	0	0
"nucleotide diphosphatase activity"	0	0	0	0	0
"nucleoside diphosphate kinase activity"	0	0	0	0	0
"monooxygenase activity"	0	0	0	0	0
"leukotriene-C4 synthase activity"	0	0	0	0	0
"nuclease activity"	0	0	0	0	0
"hypoxanthine phosphoribosyltransferase activity"	0	0	0	0	0
"hexokinase activity"	0	0	0	0	0
"ribonucleoside-diphosphate reductase activity thioredoxin disulfide as acceptor"	0	0	0	0	0
"retinol dehydrogenase activity"	0	0	0	0	0
"protein histidine kinase activity"	0	0	0	0	0
"protein kinase activity"	0	0	0	0	0
"glutathione peroxidase activity"	0	0	0	0	0
"peroxidase activity"	0	0	0	0	0
"aminoacyl-tRNA ligase activity"	0	0	0	0	0
"alcohol dehydrogenase (NADP+) activity"	0	0	0	0	0
"cytoskeletal protein binding"	0	0	0	0	0
"glucose binding"	0	0	0	0	0
"GTP binding"	0	0	0	0	0
"ATP binding"	0	0	0	0	0
"iron ion binding"	0	0	0	0	0
"all-trans retinal binding"	0	0	0	0	0
"calmodulin binding"	0	0	0	0	0
"protein binding"	0	0	0	0	0
" 202989"	0	0	0	0	0
"steroid binding"	0	0	0	0	0
"binding"	0	0	0	0	0
" 201204"	0	0	0	0	0
" 201697"	0	0	0	0	0
"organic acid transmembrane transporter activity"	0	0	0	0	0
"steroid hydroxylase activity"	0	0	0	0	0
"zinc ion binding"	0	0	0	0	0
"5'-nucleotidase activity"	0	0	0	0	0
"nucleotidase activity"	0	0	0	0	0
"FMN binding"	0	0	0	0	0
"biotin binding"	0	0	0	0	0
"betaine-aldehyde dehydrogenase activity"	0	0	0	0	0
"2'-phosphotransferase activity"	0	0	0	0	0
"JUN kinase binding"	0	0	0	0	0
"AMP binding"	0	0	0	0	0
"palmitoyl-[acyl-carrier-protein] hydrolase activity"	0	0	0	0	0
"myristoyl-[acyl-carrier-protein] hydrolase activity"	0	0	0	0	0
"palmitoyl-CoA hydrolase activity"	0	0	0	0	0
"maleylacetoacetate isomerase activity"	0	0	0	0	0
"fatty acid ligase activity"	0	0	0	0	0
"tubulin binding"	0	0	0	0	0
"peptide disulfide oxidoreductase activity"	0	0	0	0	0
"glutathione disulfide oxidoreductase activity"	0	0	0	0	0
"oxidoreductase activity acting on CH-OH group of donors"	0	0	0	0	0
"oxidoreductase activity acting on the aldehyde or oxo group of donors oxygen as acceptor"	0	0	0	0	0
"oxidoreductase activity acting on the CH-OH group of donors NAD or NADP as acceptor"	0	0	0	0	0
"C-acetyltransferase activity"	0	0	0	0	0
"malonyltransferase activity"	0	0	0	0	0
"S-malonyltransferase activity"	0	0	0	0	0
"long-chain-3-hydroxyacyl-CoA dehydrogenase activity"	0	0	0	0	0
"long-chain-enoyl-CoA hydratase activity"	0	0	0	0	0
"pyrophosphatase activity"	0	0	0	0	0
"C-acyltransferase activity"	0	0	0	0	0
"acetyltransferase activity"	0	0	0	0	0
"CoA-ligase activity"	0	0	0	0	0
"S-acetyltransferase activity"	0	0	0	0	0
"S-acyltransferase activity"	0	0	0	0	0
"kinase activity"	0	0	0	0	0
"acyl-[acyl-carrier-protein] hydrolase activity"	0	0	0	0	0
"glyoxylate metabolic process"	0	0	0	0	0
"glycerolipid metabolic process"	0	0	0	0	0
"nicotinamide nucleotide metabolic process"	0	0	0	0	0
"heterocycle metabolic process"	0	0	0	0	0
" 117403"	0	0	0	0	0
"acylglycerol biosynthetic process"	0	0	0	0	0
"neutral lipid biosynthetic process"	0	0	0	0	0
"organophosphate catabolic process"	0	0	0	0	0
"D-amino acid metabolic process"	0	0	0	0	0
"icosanoid biosynthetic process"	0	0	0	0	0
"negative regulation of insulin secretion"	0	0	0	0	0
"male sex differentiation"	0	0	0	0	0
"lymphocyte proliferation"	0	0	0	0	0
"lymphocyte activation"	0	0	0	0	0
"development of primary male sexual characteristics"	0	0	0	0	0
"nucleotide phosphorylation"	0	0	0	0	0
"secretion"	0	0	0	0	0
"regulation of hormone secretion"	0	0	0	0	0
"hormone secretion"	0	0	0	0	0
"negative regulation of hormone secretion"	0	0	0	0	0
"positive regulation of hormone secretion"	0	0	0	0	0
"protein autophosphorylation"	0	0	0	0	0
"organelle fission"	0	0	0	0	0
"negative regulation of fibroblast proliferation"	0	0	0	0	0
"male gamete generation"	0	0	0	0	0
"embryonic eye morphogenesis"	0	0	0	0	0
"regulation of fibroblast proliferation"	0	0	0	0	0
"fibroblast proliferation"	0	0	0	0	0
"cellular ketone body metabolic process"	0	0	0	0	0
"fatty-acyl-CoA biosynthetic process"	0	0	0	0	0
"ketone body biosynthetic process"	0	0	0	0	0
"reproductive structure development"	0	0	0	0	0
"embryonic morphogenesis"	0	0	0	0	0
"embryonic camera-type eye morphogenesis"	0	0	0	0	0
"embryonic organ development"	0	0	0	0	0
"camera-type eye morphogenesis"	0	0	0	0	0
"eye morphogenesis"	0	0	0	0	0
"hemopoietic or lymphoid organ development"	0	0	0	0	0
"embryonic organ morphogenesis"	0	0	0	0	0
"positive regulation of cellular process"	0	0	0	0	0
"positive regulation of biological process"	0	0	0	0	0
"spermatid differentiation"	0	0	0	0	0
"dendrite morphogenesis"	0	0	0	0	0
"gland development"	0	0	0	0	0
"tissue morphogenesis"	0	0	0	0	0
"oligodendrocyte differentiation"	0	0	0	0	0
"positive regulation of protein secretion"	0	0	0	0	0
"positive regulation of epithelial cell proliferation"	0	0	0	0	0
"neural nucleus development"	0	0	0	0	0
"coagulation"	0	0	0	0	0
"regulation of insulin secretion"	0	0	0	0	0
"regulation of catalytic activity"	0	0	0	0	0
"regulation of biological process"	0	0	0	0	0
" 128125"	0	0	0	0	0
"regulation of cellular process"	0	0	0	0	0
" 129136"	0	0	0	0	0
"cellular component biogenesis"	0	0	0	0	0
"macromolecular complex subunit organization"	0	0	0	0	0
"nose development"	0	0	0	0	0
"cellular protein metabolic process"	0	0	0	0	0
"cellular macromolecule catabolic process"	0	0	0	0	0
"cellular carbohydrate metabolic process"	0	0	0	0	0
"sulfur compound biosynthetic process"	0	0	0	0	0
"cellular nitrogen compound biosynthetic process"	0	0	0	0	0
"cellular biosynthetic process"	0	0	0	0	0
" 106125"	0	0	0	0	0
"cellular macromolecule metabolic process"	0	0	0	0	0
"positive regulation of molecular function"	0	0	0	0	0
"negative regulation of molecular function"	0	0	0	0	0
"carnitine biosynthetic process"	0	0	0	0	0
"development of primary sexual characteristics"	0	0	0	0	0
"secondary metabolite biosynthetic process"	0	0	0	0	0
"glycerolipid biosynthetic process"	0	0	0	0	0
"interspecies interaction between organisms"	0	0	0	0	0
"positive regulation of epidermis development"	0	0	0	0	0
"regulation of epidermis development"	0	0	0	0	0
"positive regulation of keratinocyte differentiation"	0	0	0	0	0
"regulation of keratinocyte differentiation"	0	0	0	0	0
"positive regulation of epidermal cell differentiation"	0	0	0	0	0
"regulation of epidermal cell differentiation"	0	0	0	0	0
"negative regulation of myeloid cell differentiation"	0	0	0	0	0
"regulation of myeloid cell differentiation"	0	0	0	0	0
"positive regulation of lymphocyte differentiation"	0	0	0	0	0
"regulation of lymphocyte differentiation"	0	0	0	0	0
"negative regulation of cell differentiation"	0	0	0	0	0
"positive regulation of T cell differentiation"	0	0	0	0	0
"endothelial cell differentiation"	0	0	0	0	0
"regulation of T cell differentiation"	0	0	0	0	0
"negative regulation of carbohydrate metabolic process"	0	0	0	0	0
"negative regulation of mitosis"	0	0	0	0	0
"negative regulation of transcription DNA-dependent"	0	0	0	0	0
"positive regulation of blood pressure"	0	0	0	0	0
"UTP metabolic process"	0	0	0	0	0
"UMP metabolic process"	0	0	0	0	0
"ITP metabolic process"	0	0	0	0	0
"IMP metabolic process"	0	0	0	0	0
"dUMP metabolic process"	0	0	0	0	0
"ATP metabolic process"	0	0	0	0	0
"AMP metabolic process"	0	0	0	0	0
"GTP metabolic process"	0	0	0	0	0
"GMP catabolic process"	0	0	0	0	0
"GMP metabolic process"	0	0	0	0	0
"CTP metabolic process"	0	0	0	0	0
"negative regulation of growth"	0	0	0	0	0
"negative regulation of nucleobase-containing compound metabolic process"	0	0	0	0	0
"pyrimidine nucleoside catabolic process"	0	0	0	0	0
"purine ribonucleoside metabolic process"	0	0	0	0	0
"purine ribonucleoside catabolic process"	0	0	0	0	0
"purine ribonucleoside biosynthetic process"	0	0	0	0	0
"hypoxanthine biosynthetic process"	0	0	0	0	0
"hypoxanthine metabolic process"	0	0	0	0	0
"nucleobase biosynthetic process"	0	0	0	0	0
"adenosine metabolic process"	0	0	0	0	0
"adenine biosynthetic process"	0	0	0	0	0
"adenine metabolic process"	0	0	0	0	0
"dUMP catabolic process"	0	0	0	0	0
"guanine biosynthetic process"	0	0	0	0	0
"guanine metabolic process"	0	0	0	0	0
"adenosine biosynthetic process"	0	0	0	0	0
"monosaccharide catabolic process"	0	0	0	0	0
"regulation of JNK cascade"	0	0	0	0	0
"formaldehyde metabolic process"	0	0	0	0	0
"regulation of glucose import"	0	0	0	0	0
"glucose import"	0	0	0	0	0
"formaldehyde catabolic process"	0	0	0	0	0
"indolalkylamine catabolic process"	0	0	0	0	0
"aldehyde catabolic process"	0	0	0	0	0
"macromolecular complex assembly"	0	0	0	0	0
"reproductive system development"	0	0	0	0	0
"biological regulation"	0	0	0	0	0
" 143844"	0	0	0	0	0
"left/right pattern formation"	0	0	0	0	0
"embryonic camera-type eye formation"	0	0	0	0	0
"negative regulation of response to cytokine stimulus"	0	0	0	0	0
"membrane organization"	0	0	0	0	0
"negative regulation of stress-activated protein kinase signaling cascade"	0	0	0	0	0
"negative regulation of ERK1 and ERK2 cascade"	0	0	0	0	0
"regulation of ERK1 and ERK2 cascade"	0	0	0	0	0
"ERK1 and ERK2 cascade"	0	0	0	0	0
"necrotic cell death"	0	0	0	0	0
"regulation of stress-activated protein kinase signaling cascade"	0	0	0	0	0
"protein complex biogenesis"	0	0	0	0	0
"kynurenine metabolic process"	0	0	0	0	0
"D-serine metabolic process"	0	0	0	0	0
"oxidative demethylation"	0	0	0	0	0
"demethylation"	0	0	0	0	0
"response to epidermal growth factor stimulus"	0	0	0	0	0
"negative regulation of leukocyte proliferation"	0	0	0	0	0
"response to oxygen levels"	0	0	0	0	0
"cellular response to cadmium ion"	0	0	0	0	0
"cellular response to arsenic-containing substance"	0	0	0	0	0
"cellular response to inorganic substance"	0	0	0	0	0
"cellular response to cell-matrix adhesion"	0	0	0	0	0
"cellular response to lipid hydroperoxide"	0	0	0	0	0
"cellular response to xenobiotic stimulus"	0	0	0	0	0
"cellular response to hydroperoxide"	0	0	0	0	0
"cellular response to steroid hormone stimulus"	0	0	0	0	0
"cellular response to jasmonic acid stimulus"	0	0	0	0	0
"cellular response to glucocorticoid stimulus"	0	0	0	0	0
"cellular response to corticosteroid stimulus"	0	0	0	0	0
"cellular response to epidermal growth factor stimulus"	0	0	0	0	0
"protein complex subunit organization"	0	0	0	0	0
"cellular component organization at cellular level"	0	0	0	0	0
"cellular component organization or biogenesis at cellular level"	0	0	0	0	0
"cellular component organization or biogenesis"	0	0	0	0	0
"negative regulation of monocyte chemotactic protein-1 production"	0	0	0	0	0
"regulation of monocyte chemotactic protein-1 production"	0	0	0	0	0
"tumor necrosis factor superfamily cytokine production"	0	0	0	0	0
"acyl-CoA biosynthetic process"	0	0	0	0	0
"monocyte chemotactic protein-1 production"	0	0	0	0	0
"pyrimidine-containing compound catabolic process"	0	0	0	0	0
"pyrimidine-containing compound biosynthetic process"	0	0	0	0	0
"pyrimidine-containing compound metabolic process"	0	0	0	0	0
"purine-containing compound biosynthetic process"	0	0	0	0	0
"purine-containing compound metabolic process"	0	0	0	0	0
"pyridine-containing compound catabolic process"	0	0	0	0	0
"pyridine-containing compound metabolic process"	0	0	0	0	0
"purine-containing compound catabolic process"	0	0	0	0	0
"negative regulation of protein serine/threonine kinase activity"	0	0	0	0	0
"regulation of protein serine/threonine kinase activity"	0	0	0	0	0
"renal system development"	0	0	0	0	0
"nucleic acid metabolic process"	0	0	0	0	0
"regulation of superoxide metabolic process"	0	0	0	0	0
"negative regulation of peptide hormone secretion"	0	0	0	0	0
"positive regulation of peptide hormone secretion"	0	0	0	0	0
"regulation of peptide hormone secretion"	0	0	0	0	0
"regulation of peptide transport"	0	0	0	0	0
"regulation of body fluid levels"	0	0	0	0	0
"positive regulation of T cell activation"	0	0	0	0	0
"regulation of T cell activation"	0	0	0	0	0
"regulation of nitrogen compound metabolic process"	0	0	0	0	0
"positive regulation of binding"	0	0	0	0	0
"negative regulation of cellular component organization"	0	0	0	0	0
"regulation of cellular component organization"	0	0	0	0	0
"regulation of DNA binding"	0	0	0	0	0
"regulation of RNA metabolic process"	0	0	0	0	0
"regulation of lymphocyte activation"	0	0	0	0	0
"protein oligomerization"	0	0	0	0	0
"negative regulation of RNA metabolic process"	0	0	0	0	0
"cofactor biosynthetic process"	0	0	0	0	0
"cofactor metabolic process"	0	0	0	0	0
"protein heterooligomerization"	0	0	0	0	0
"protein tetramerization"	0	0	0	0	0
"protein heterotetramerization"	0	0	0	0	0
"protein homotetramerization"	0	0	0	0	0
"chromosome organization"	0	0	0	0	0
"response to redox state"	0	0	0	0	0
"negative regulation of nitric-oxide synthase biosynthetic process"	0	0	0	0	0
"regulation of nitric-oxide synthase biosynthetic process"	0	0	0	0	0
"nitric-oxide synthase biosynthetic process"	0	0	0	0	0
"cellular localization"	0	0	0	0	0
"establishment of localization in cell"	0	0	0	0	0
"response to cAMP"	0	0	0	0	0
"response to nitrosative stress"	0	0	0	0	0
"stress-activated MAPK cascade"	0	0	0	0	0
"regulation of endopeptidase activity"	0	0	0	0	0
"regulation of peptidase activity"	0	0	0	0	0
"medium-chain fatty acid metabolic process"	0	0	0	0	0
"negative regulation of nuclear division"	0	0	0	0	0
"regulation of nuclear division"	0	0	0	0	0
"oxidation-reduction process"	0	0	0	0	0
"nucleobase-containing small molecule metabolic process"	0	0	0	0	0
"transmembrane transport"	0	0	0	0	0
"negative regulation of necrotic cell death"	0	0	0	0	0
"response to growth hormone stimulus"	0	0	0	0	0
"face development"	0	0	0	0	0
"head development"	0	0	0	0	0
"olfactory pit development"	0	0	0	0	0
"glial cell development"	0	0	0	0	0
"nucleus accumbens development"	0	0	0	0	0
"striatum development"	0	0	0	0	0
"diencephalon development"	0	0	0	0	0
"subpallium development"	0	0	0	0	0
"telencephalon development"	0	0	0	0	0
"biological adhesion"	0	0	0	0	0
"cellular component assembly"	0	0	0	0	0
"cell cycle phase"	0	0	0	0	0
"pituitary gland development"	0	0	0	0	0
"hemopoiesis"	0	0	0	0	0
"insulin secretion"	0	0	0	0	0
"peptide hormone secretion"	0	0	0	0	0
"myeloid cell differentiation"	0	0	0	0	0
"lymphocyte differentiation"	0	0	0	0	0
"negative regulation of cell growth"	0	0	0	0	0
"T cell differentiation"	0	0	0	0	0
"lipid modification"	0	0	0	0	0
"mammary gland development"	0	0	0	0	0
"positive regulation of epithelial cell differentiation"	0	0	0	0	0
"regulation of cellular biosynthetic process"	0	0	0	0	0
"regeneration"	0	0	0	0	0
"stress-activated protein kinase signaling cascade"	0	0	0	0	0
"forebrain development"	0	0	0	0	0
"embryonic camera-type eye development"	0	0	0	0	0
"endocrine pancreas development"	0	0	0	0	0
"glycine betaine biosynthetic process"	0	0	0	0	0
"glycine betaine metabolic process"	0	0	0	0	0
"IMP salvage"	0	0	0	0	0
"GMP salvage"	0	0	0	0	0
"purine nucleotide salvage"	0	0	0	0	0
"mitochondrial DNA metabolic process"	0	0	0	0	0
"positive regulation of insulin secretion"	0	0	0	0	0
"oligodendrocyte development"	0	0	0	0	0
"induction of programmed cell death"	0	0	0	0	0
"programmed cell death"	0	0	0	0	0
"negative regulation of cell cycle process"	0	0	0	0	0
"regulation of glucose metabolic process"	0	0	0	0	0
"positive regulation of cell death"	0	0	0	0	0
"regulation of necrotic cell death"	0	0	0	0	0
"peptide transport"	0	0	0	0	0
"carbohydrate catabolic process"	0	0	0	0	0
"carbohydrate biosynthetic process"	0	0	0	0	0
"cell growth"	0	0	0	0	0
"RNA metabolic process"	0	0	0	0	0
"energy derivation by oxidation of organic compounds"	0	0	0	0	0
"nucleobase-containing small molecule interconversion"	0	0	0	0	0
"cellular membrane organization"	0	0	0	0	0
"cellular component organization"	0	0	0	0	0
"pantothenate metabolic process"	0	0	0	0	0
"coenzyme A biosynthetic process"	0	0	0	0	0
"coenzyme A metabolic process"	0	0	0	0	0
"dephosphorylation"	0	0	0	0	0
"death"	0	0	0	0	0
"dendrite development"	0	0	0	0	0
"morphogenesis of embryonic epithelium"	0	0	0	0	0
"glycoside metabolic process"	0	0	0	0	0
"monoterpenoid metabolic process"	0	0	0	0	0
